date,ILITOTAL,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,NUM. OF PROVIDERS,OT
2002-01-01 00:00:00,2060,1.22262,1.16668,582,805,754,176569
2002-01-08 00:00:00,2267,1.33344,1.2165,683,872,785,186355
2002-01-15 00:00:00,2176,1.31929,1.13057,642,878,831,192469
2002-01-22 00:00:00,2599,1.49484,1.2524600000000000,728,1045,863,207512
2002-01-29 00:00:00,2907,1.47195,1.30237,823,1189,909,223208
2002-02-05 00:00:00,3225,1.58094,1.40551,887,1272,930,229454
2002-02-12 00:00:00,3097,1.4942600000000000,1.38437,851,1173,923,223712
2002-02-19 00:00:00,2967,1.4056900000000000,1.3256300000000000,802,1166,922,223818
2002-02-26 00:00:00,2709,1.6141,1.43475,834,978,918,188814
2002-03-05 00:00:00,3049,1.45967,1.25433,857,1117,937,243078
2002-03-12 00:00:00,2957,1.59896,1.25757,804,1179,928,235136
2002-03-19 00:00:00,3416,2.16697,1.58017,951,1404,908,216179
2002-03-26 00:00:00,2857,2.57842,1.9800800000000000,915,937,865,144287
2002-04-02 00:00:00,3260,2.38636,1.90428,1028,1019,879,171193
2002-04-09 00:00:00,3729,1.7362100000000000,1.5901,1068,1296,926,234513
2002-04-16 00:00:00,4204,2.06296,1.81559,1154,1798,902,231550
2002-04-23 00:00:00,5696,2.58113,2.4180100000000000,1373,2998,927,235566
2002-04-30 00:00:00,7079,2.93909,2.86635,1411,4064,884,246969
2002-05-07 00:00:00,7782,3.22539,3.16662,1606,4447,889,245751
2002-05-14 00:00:00,7649,3.06982,3.0155,1568,4224,903,253656
2002-05-21 00:00:00,7228,3.20044,2.9978,1694,3689,871,241110
2002-05-28 00:00:00,5606,2.44888,2.31957,1336,2583,857,241683
2002-06-04 00:00:00,4450,2.1344,1.94707,1015,2103,839,228549
2002-06-11 00:00:00,3810,1.9986600000000000,1.72985,880,1669,835,220250
2002-06-18 00:00:00,2987,1.93849,1.51837,737,1321,795,196724
2002-06-25 00:00:00,2439,1.41293,1.2261600000000000,624,1016,775,198913
2002-07-02 00:00:00,2028,1.23472,1.05433,506,846,741,192349
2002-07-09 00:00:00,2082,1.20005,1.07108,569,799,735,194383
2002-07-16 00:00:00,1467,0.910135,0.8261200000000000,440,539,669,177577
2002-07-23 00:00:00,1445,0.932265,0.8205050000000000,429,508,682,176111
2002-07-30 00:00:00,1075,0.692175,0.630846,275,444,655,170406
2002-08-06 00:00:00,1005,0.6694060000000000,0.63935,215,471,613,157191
2002-08-13 00:00:00,836,0.727705,0.586609,248,283,547,142514
2002-08-20 00:00:00,740,0.717701,0.7730240000000000,264,262,406,95728
2002-08-27 00:00:00,641,0.7893940000000000,0.790743,213,205,393,81063
2002-09-03 00:00:00,563,0.722129,0.711847,201,195,344,79090
2002-09-10 00:00:00,620,0.591326,0.794637,198,187,341,78023
2002-09-17 00:00:00,423,0.52307,0.586604,139,123,322,72110
2002-09-24 00:00:00,441,0.45023600000000000,0.6159820000000000,122,124,322,71593
2002-10-01 00:00:00,318,0.397421,0.49150700000000000,109,91,310,64699
2002-10-08 00:00:00,441,0.44800200000000000,0.604341,137,141,308,72972
2002-10-15 00:00:00,365,0.474767,0.524478,98,98,301,69593
2002-10-22 00:00:00,420,0.453251,0.590692,112,139,302,71103
2002-10-29 00:00:00,361,0.35215800000000000,0.505135,100,120,290,71466
2002-11-05 00:00:00,443,0.5253220000000000,0.634271,136,125,295,69844
2002-11-12 00:00:00,421,0.492991,0.610118,120,131,283,69003
