date,HUFL,HULL,MUFL,MULL,LUFL,OT
7/1/2016 00:00,5.827000141,2.009000063,1.598999977,0.462000012,4.203000069,1.340000033
7/1/2016 01:00,5.69299984,2.075999975,1.491999984,0.425999999,4.142000198,1.371000051
7/1/2016 02:00,5.157000065,1.741000056,1.279000044,0.354999989,3.77699995,1.218000054
7/1/2016 03:00,5.090000153,1.942000031,1.279000044,0.391000003,3.806999922,1.279000044
7/1/2016 04:00,5.357999802,1.942000031,1.491999984,0.462000012,3.868000031,1.279000044
7/1/2016 05:00,5.625999928,2.142999887,1.527999997,0.532999992,4.051000118,1.371000051
7/1/2016 06:00,7.166999817,2.947000027,2.131999969,0.782000005,5.026000023,1.85800004
7/1/2016 07:00,7.434999943,3.282000065,2.309999943,1.031000018,5.086999893,2.223999977
7/1/2016 08:00,5.559000015,3.013999939,2.451999903,1.172999978,2.954999924,1.432000041
7/1/2016 09:00,4.554999828,2.545000076,1.91900003,0.816999972,2.680000067,1.371000051
7/1/2016 10:00,4.956999779,2.545000076,1.99000001,0.852999985,2.954999924,1.491999984
7/1/2016 11:00,5.760000229,2.545000076,2.203000069,0.852999985,3.441999912,1.491999984
7/1/2016 12:00,4.68900013,2.545000076,1.812000036,0.852999985,2.832999945,1.523000002
7/1/2016 13:00,4.68900013,2.678999901,1.77699995,1.243999958,3.107000113,1.613999963
7/1/2016 14:00,5.090000153,2.947000027,2.451999903,1.350000024,2.559000015,1.432000041
7/1/2016 15:00,5.090000153,3.148000002,2.486999989,1.350000024,2.588999987,1.523000002
7/1/2016 16:00,4.21999979,2.411000013,1.70599997,0.782000005,2.618999958,1.491999984
7/1/2016 17:00,4.756000042,2.344000101,1.63499999,0.711000025,3.075999975,1.491999984
7/1/2016 18:00,5.625999928,2.880000114,2.523000002,1.207999945,3.075999975,1.491999984
7/1/2016 19:00,5.492000103,3.013999939,2.451999903,1.207999945,3.015000105,1.552999973
7/1/2016 20:00,5.357999802,3.013999939,2.451999903,1.207999945,2.862999916,1.523000002
7/1/2016 21:00,5.090000153,2.947000027,2.381000042,1.207999945,2.680000067,1.523000002
7/1/2016 22:00,4.822999954,2.947000027,2.203000069,1.172999978,2.618999958,1.523000002
7/1/2016 23:00,4.622000217,2.880000114,2.131999969,1.136999965,2.467000008,1.491999984
7/2/2016 00:00,5.223999977,3.08100009,2.700999975,1.315000057,2.437000036,1.523000002
7/2/2016 01:00,5.157000065,3.013999939,2.878000021,1.350000024,2.345000029,1.432000041
7/2/2016 02:00,5.157000065,3.148000002,2.878000021,1.491999984,2.28399992,1.432000041
7/2/2016 03:00,5.157000065,3.08100009,2.914000034,1.491999984,2.193000078,1.401000023
7/2/2016 04:00,4.554999828,3.08100009,2.451999903,1.491999984,2.193000078,1.401000023
7/2/2016 05:00,5.425000191,3.282000065,3.092000008,1.70599997,2.437000036,1.462000012
7/2/2016 06:00,5.492000103,3.282000065,2.523000002,1.491999984,2.984999895,1.462000012
7/2/2016 07:00,5.625999928,3.214999914,2.486999989,1.491999984,3.075999975,1.523000002
7/2/2016 08:00,5.559000015,3.282000065,2.594000101,1.669999957,2.924000025,1.523000002
7/2/2016 09:00,5.223999977,3.214999914,2.559000015,1.56400001,2.680000067,1.462000012
7/2/2016 10:00,9.913000107,4.956999779,6.644999981,3.305000067,3.046000004,1.552999973
7/2/2016 11:00,11.78800011,5.425000191,8.173000336,2.523000002,3.686000109,1.674999952
7/2/2016 12:00,9.645000458,4.956999779,6.751999855,2.131999969,3.107000113,1.827999949
7/2/2016 13:00,10.38199997,5.760000229,7.461999893,2.559000015,2.984999895,1.76699996
7/2/2016 14:00,8.774000168,4.68900013,6.111999989,2.025000095,2.894000053,1.91900003
7/2/2016 15:00,10.44900036,5.157000065,6.965000153,2.451999903,2.772000074,1.735999942
7/2/2016 16:00,9.845999718,4.822999954,7.035999775,2.664999962,2.894000053,1.76699996
7/2/2016 17:00,9.913000107,4.822999954,6.894000053,2.415999889,3.229000092,1.735999942
7/2/2016 18:00,10.64999962,4.68900013,6.928999901,2.451999903,3.381000042,1.797000051
7/2/2016 19:00,10.11400032,4.354000092,6.644999981,1.812000036,3.107000113,1.735999942
7/2/2016 20:00,9.979999542,4.152999878,6.573999882,1.953999996,3.411000013,1.76699996
7/2/2016 21:00,9.31000042,4.21999979,6.005000114,2.131999969,3.229000092,1.85800004
7/2/2016 22:00,9.444000244,4.622000217,6.965000153,2.167999983,2.954999924,1.85800004
7/2/2016 23:00,9.444000244,4.287000179,6.822999954,2.559000015,2.588999987,1.735999942
7/3/2016 00:00,10.38199997,5.425000191,7.604000092,2.309999943,2.954999924,1.674999952
7/3/2016 01:00,9.779000282,5.223999977,6.71600008,2.842999935,2.650000095,1.674999952
7/3/2016 02:00,10.38199997,4.68900013,7.320000172,2.203000069,2.984999895,1.85800004
7/3/2016 03:00,9.779000282,4.152999878,6.822999954,1.99000001,2.528000116,1.674999952
7/3/2016 04:00,10.71700001,4.756000042,7.355999947,2.806999922,2.650000095,1.797000051
7/3/2016 05:00,10.31499958,4.68900013,7.390999794,2.451999903,2.924000025,1.85800004
7/3/2016 06:00,12.59200001,5.223999977,8.670999527,2.203000069,3.71600008,1.949000001
7/3/2016 07:00,11.11900043,4.622000217,7.888999939,2.842999935,3.625,1.91900003
7/3/2016 08:00,10.64999962,4.421000004,7.035999775,2.025000095,3.594000101,1.91900003
7/3/2016 09:00,10.04699993,4.21999979,6.43200016,1.669999957,3.686000109,1.949000001
7/3/2016 10:00,11.72099972,5.090000153,7.888999939,2.559000015,3.563999891,1.85800004
7/3/2016 11:00,12.12300014,5.357999802,8.065999985,2.486999989,4.081999779,1.91900003
7/3/2016 12:00,9.979999542,5.022999763,6.857999802,2.559000015,3.289999962,1.85800004
7/3/2016 13:00,9.243000031,4.956999779,6.289999962,2.630000114,3.137000084,1.888000011
7/3/2016 14:00,10.18099976,5.425000191,7.177999973,3.019999981,3.075999975,1.888000011
7/3/2016 15:00,9.645000458,5.425000191,7.106999874,2.664999962,3.015000105,1.827999949
7/3/2016 16:00,9.779000282,4.889999866,6.502999783,2.984999895,3.075999975,2.00999999
7/3/2016 17:00,11.11900043,5.157000065,7.320000172,2.914000034,3.806999922,1.980000019
7/3/2016 18:00,11.05200005,4.956999779,7.390999794,2.523000002,3.686000109,1.980000019
7/3/2016 19:00,10.7840004,4.889999866,7.214000225,2.486999989,3.594000101,1.888000011
7/3/2016 20:00,11.18599987,4.889999866,7.177999973,2.345000029,3.960000038,1.91900003
7/3/2016 21:00,10.44900036,4.889999866,6.610000134,2.309999943,3.806999922,2.040999889
7/3/2016 22:00,9.578000069,5.760000229,6.787000179,3.127000093,3.259000063,1.888000011
7/3/2016 23:00,9.31000042,5.760000229,6.610000134,3.055999994,3.167999983,1.888000011
7/4/2016 00:00,9.913000107,5.894000053,6.254000187,2.630000114,3.015000105,1.85800004
7/4/2016 01:00,8.975000381,4.956999779,6.289999962,2.664999962,2.862999916,1.827999949
7/4/2016 02:00,8.640000343,4.822999954,6.147999763,2.594000101,2.924000025,1.827999949
7/4/2016 03:00,9.175999641,5.492000103,5.578999996,2.381000042,2.862999916,1.85800004
7/4/2016 04:00,9.109000206,4.822999954,5.650000095,2.523000002,2.772000074,1.797000051
7/4/2016 05:00,9.845999718,5.559000015,5.96999979,2.948999882,3.107000113,1.888000011
7/4/2016 06:00,11.5880003,5.425000191,7.390999794,2.806999922,3.806999922,1.980000019
7/4/2016 07:00,11.78800011,6.09499979,7.214000225,2.984999895,3.898999929,2.040999889
7/4/2016 08:00,10.58300018,5.960999966,7.143000126,2.914000034,3.654999971,2.071000099
7/4/2016 09:00,11.5880003,6.296000004,7.568999767,3.055999994,3.471999884,2.00999999
7/4/2016 10:00,11.92199993,6.229000092,7.710999966,3.055999994,3.746000051,1.949000001
7/4/2016 11:00,12.32400036,5.559000015,8.421999931,3.233999968,4.203000069,1.980000019
7/4/2016 12:00,10.38199997,5.894000053,6.857999802,2.630000114,3.563999891,1.949000001
7/4/2016 13:00,10.04699993,5.425000191,6.751999855,3.019999981,3.319999933,1.949000001
7/4/2016 14:00,10.51599979,6.027999878,7.106999874,3.375999928,3.137000084,1.91900003
7/4/2016 15:00,10.71700001,6.09499979,6.787000179,3.019999981,3.167999983,2.00999999
7/4/2016 16:00,9.979999542,5.022999763,6.502999783,2.559000015,3.441999912,2.040999889
7/4/2016 17:00,11.31999969,5.090000153,7.355999947,2.451999903,3.868000031,2.040999889
7/4/2016 18:00,11.38700008,4.956999779,7.355999947,2.451999903,4.295000076,2.193000078
7/4/2016 19:00,9.376999855,3.88499999,6.894000053,2.239000082,2.467000008,1.187999964
7/4/2016 20:00,10.11400032,4.085999966,7.143000126,2.239000082,2.954999924,1.462000012
7/4/2016 21:00,10.38199997,4.822999954,6.894000053,2.309999943,3.503000021,2.00999999
7/4/2016 22:00,9.645000458,4.889999866,6.610000134,1.91900003,3.259000063,1.91900003
